timestep	potential_energy	kinetic_energy	langevin_reservoir_energy_rigid_center	temperature	pressure
0	57142604.71	0	0	0	474.5609239
0	223213.2996	0	0	0	474.5609239
0	223213.2996	0	0	0	474.5609239
0	111606.6498	0	0	0	474.5609239
0	111606.6498	0	0	0	474.5609239
0	-238.9770222	0	0	0	-0.0002658167444
0	-238.9770222	0	0	0	-0.0002658167444
0	-0.4667519964	0	0	0	-0.0002658167444
50000	-1000.084888	69.46324521	644.7664587	1.187405901	-0.0202173031
100000	-1106.69273	71.26704672	713.7079791	1.218240115	0.003670692422
150000	-1242.975955	52.85850264	830.1785951	0.9035641476	-0.05612011796
200000	-1270.302904	63.0404444	821.3699132	1.077614434	0.01639935911
250000	-1294.488634	69.69629962	812.1216764	1.191389737	0.01734859617
300000	-1357.190598	74.07460558	853.7030286	1.266232574	-0.002795524769
350000	-1403.649124	71.04706563	880.9311039	1.214479754	0.01627702992
400000	-1380.993524	76.73035952	800.9935725	1.311630077	0.03496010889
450000	-1432.060126	64.07978723	821.3428367	1.095380978	-0.03469849781
500000	-1465.312499	48.40541142	873.9289384	0.8274429302	0.02145521269
550000	-1463.63205	54.82579855	899.8394952	0.9371931376	0.003045178723
600000	-1447.278735	64.83649646	904.8119244	1.108316179	-0.0327835488
650000	-1458.957391	75.50112033	879.2291469	1.290617442	-0.02821004475
700000	-1599.3037	60.15273765	978.6444523	1.028251926	-0.009818457707
750000	-1594.276011	70.67230616	980.3118821	1.208073609	0.04334187801
800000	-1601.13294	51.21368498	959.1322649	0.8754476066	-0.01197649392
850000	-1586.676769	74.39770001	984.2709727	1.271755556	-0.001771812239
900000	-1591.830191	53.1793876	955.2629608	0.9090493607	-0.03237992219
950000	-1589.662331	66.71844456	914.1152429	1.140486232	-0.00957986843
1000000	-1597.442526	61.29434187	908.7465582	1.047766528	0.003681652053
1050000	-1580.07122	53.86441882	957.06833	0.920759296	-0.002946782395
1100000	-1599.82374	65.11779816	963.1526095	1.113124755	-0.002704882313
1150000	-1590.567277	61.28895745	923.6988255	1.047674486	0.02092021021
1200000	-1585.043419	57.70885559	869.1713216	0.9864761639	-0.01972246618
1250000	-1598.613836	54.63280797	882.5889428	0.9338941534	-0.003046327971
1300000	-1593.537638	47.69881404	934.4013872	0.8153643425	-0.004056407915
1350000	-1577.591286	64.14210252	950.5471245	1.096446197	-0.01535018155
1400000	-1587.579046	71.41579984	938.9003313	1.220782903	0.03047576482
1450000	-1595.284294	69.07561715	941.9179664	1.18077978	1.044800439e-05
1500000	-1599.897042	73.33294894	884.4854768	1.253554683	-0.0171316886
1550000	-1592.927496	63.01490776	849.9798806	1.07717791	0.007708566495
1600000	-1597.929518	60.5728402	861.1442775	1.035433166	-0.01399056457
1650000	-1601.214347	55.27148682	856.2278185	0.9448117406	0.03309119162
1700000	-1603.305432	52.88212692	843.5724906	0.9039679815	0.007578031877
1750000	-1587.255992	58.31704327	833.9296284	0.9968725345	-0.01391829932
1800000	-1605.560559	45.29807387	824.9772685	0.7743260491	0.04831119598
